Pre-conference information 1,Pre-conference information 2,Pre-conference information 3,Pre-conference information 4,Pre-conference information 5,Pre-conference information 6,Pre-conference information 7,Pre-conference information 8,Pre-conference communication,Registration,Conference registration,Conference expectations,Learning objectives,Improved knowledge in Emergency medicine,Improvement in Emergency medicine skills,Improvement in Emergency medicine attitude,Self-confidence in Emergency Medicine,Relevance of opening ceremony,The Laerdal all African simulation cup,The AFEM/IEM medical and nursing students symposium,The AFEM regional and interest group meetings,The women in emergency care meeting,The oxygen stakeholders meeting,The francophone session and meeting,Closing ceremony,The conference was fun ,Snacks,Lunch,Conference organisation ,Logistics (Course Files & Materials) ,Attend another conference by the organizers,Recommend this conference to others,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Course Brochure,Flyer - printed,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram, Conference Website,,,,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,,
Course Brochure,Flyer - printed,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,-1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,
Facebook,Whatsapp,Twitter,Instagram,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram, Conference Website,,,,1,1,1,1,1,-1,-1,0,-1,1,1,1,1,1,0,0,1,0,1,1,0,-1,0,0,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram, Conference Website,,,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,,,
Course Brochure,Flyer - printed, Conference Website,,,,,,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,,,
Word of mouth,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
My medical sup. Through Ghana health services regional director ,,,,,,,,0,0,1,1,1,1,-1,1,-1,0,1,0,0,1,1,0,0,0,-1,-1,0,0,1,1,,,
Facebook,Whatsapp,Twitter,Instagram,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,,,
Email notification,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,-1,0,0,0,0,-1,-1,,,
Facebook,Whatsapp,Twitter,Instagram,,,,,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Letter from GHS,,,,,,,,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,0,0,1,1,1,0,0,0,1,-1,-1,0,0,0,0,1,1,0,0,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram, By Telephone,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
From my professors who attended the 4th AFCEM,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Facebook,Whatsapp,Twitter,Instagram, Conference Website,,,,1,1,-1,0,0,-1,-1,-1,-1,1,1,0,1,1,0,0,0,-1,0,0,0,1,0,1,,,
Conference Website,,,,,,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,
Conference Website,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
